id,cycle_enUS,cycle_zhCN,cycle_position,set_enUS,set_zhCN,set_position,settype_enUS,settype_zhCN,set_size,position,title_enUS,title_zhCN,stripped_title,text_enUS,text_zhCN,stripped_text,type_enUS,type_zhCN,subtype_enUS,subtype_zhCN,side_enUS,side_zhCN,faction_enUS,faction_zhCN,is_unique,deck_limit,advancement_requirement,agenda_point,base_link,minimum_deck_size,influence_limit,influence_cost,cost,strength,memory_cost,trash_cost,flavor_enUS,flavor_zhCN,quantity,extra_printing,illustrator,attribution,pronouns,pronunciation_ipa,pronunciation_approx,extra_face,narrative_enUS,designed_by,released_by,release_date
00005,Draft,轮抽系列,0,Draft,轮抽系列,1,Draft,草案,1,5,The Shadow: Pulling the Strings,幽影：暗中操纵,The Shadow: Pulling the Strings,"Draft format only.
You can use agendas from all factions in this deck.","轮抽赛制限定。
你在本牌组中可以使用所有派系的议案。",Draft format only. You can use agendas from all factions in this deck.,Corp Identity,公司特性,Megacorp,巨型公司,Corp,公司,Neutral Corp,中立公司,,1,,,,30,,,,,,,The Past is the Future.,过往即未来。,1,0,Sławomir Maniak,,,,,0,,fantasy_flight_games,fantasy_flight_games,2012-09-07
00006,Draft,轮抽系列,0,Draft,轮抽系列,1,Draft,草案,1,6,The Masque: Cyber General,假面：赛博将领,The Masque: Cyber General,Draft format only.,轮抽赛制限定。,Draft format only.,Runner Identity,潜袭者特性,Natural,原生人,Runner,潜袭者,Neutral Runner,中立潜袭者,,1,,,0,30,,,,,,,"""This war is far from over.""",“这场战争远未结束。”,1,0,Imaginary FS Pte Ltd,,,,,0,,fantasy_flight_games,fantasy_flight_games,2012-09-07
00007,Draft,轮抽系列,0,Draft,轮抽系列,1,Draft,草案,1,7,Wyvern: Chemically Enhanced,翼龙：药剂强化,Wyvern: Chemically Enhanced,"Draft format only.
You must maintain the order of your heap.
Whenever you trash a Corp card, if you have more [anarch] cards installed than any other faction, shuffle the top card of your heap into your stack.","轮抽赛制限定。
如果你具有已安装的[anarch]卡牌多于其它任何派系，则每当你销毁一张公司卡牌时，将你堆阵顶端的一张卡牌洗入你的存储栈。","Draft format only. You must maintain the order of your heap. Whenever you trash a Corp card, if you have more anarch cards installed than any other faction, shuffle the top card of your heap into your stack.",Runner Identity,潜袭者特性,G-mod,转基因人,Runner,潜袭者,Anarch,反叛者,,1,,,0,30,,,,,,,,,1,0,Rachel Borovic,,,,,0,,fantasy_flight_games,fantasy_flight_games,2012-09-07
00008,Draft,轮抽系列,0,Draft,轮抽系列,1,Draft,草案,1,8,"Boris ""Syfr"" Kovac: Crafty Veteran",鲍里斯·“暗码”·科瓦奇：诡诈老手,"Boris ""Syfr"" Kovac: Crafty Veteran","Draft format only.
If you have more [criminal] cards installed than any other faction, when your turn begins, remove 1 tag.","轮抽赛制限定。
如果你具有已安装的[criminal]卡牌多于其它任何派系，则当你的回合开始时，移除1枚锁定标记。","Draft format only. If you have more criminal cards installed than any other faction, when your turn begins, remove 1 tag.",Runner Identity,潜袭者特性,Cyborg,半机械人,Runner,潜袭者,Criminal,逆法者,,1,,,0,30,,,,,,,,,1,0,Clark Huggins,,,,,0,,fantasy_flight_games,fantasy_flight_games,2012-09-07
00009,Draft,轮抽系列,0,Draft,轮抽系列,1,Draft,草案,1,9,"Jamie ""Bzzz"" Micken: Techno Savant",杰米·“嗡嗡”·麦肯：科技博学者,"Jamie ""Bzzz"" Micken: Techno Savant","Draft format only.
If you have more [shaper] cards installed than any other faction, when you install a card the first time each turn, draw 1 card.","轮抽赛制限定。
如果你具有已安装的[shaper]卡牌多于其它任何派系，则当你每回合第一次安装一张卡牌时，补一张卡牌。","Draft format only. If you have more shaper cards installed than any other faction, when you install a card the first time each turn, draw 1 card.",Runner Identity,潜袭者特性,Natural,原生人,Runner,潜袭者,Shaper,塑造者,,1,,,0,30,,,,,,,,,1,0,Ralph Beisner,,,,,0,,fantasy_flight_games,fantasy_flight_games,2012-09-07
00010,Draft,轮抽系列,0,Draft,轮抽系列,1,Draft,草案,1,10,Strategic Innovations: Future Forward,战略创新：未来向前,Strategic Innovations: Future Forward,"Draft format only.
If you have more [haas-bioroid] cards rezzed than any other faction, when the Runner's turn ends, shuffle 1 card in Archives into R&D.","轮抽赛制限定。
如果你具有已激活的[haas-bioroid]卡牌多于其它任何派系，则当潜袭者的回合结束时，将一张卡牌从档案库洗入研发中心。","Draft format only. If you have more haas-bioroid cards rezzed than any other faction, when the Runner's turn ends, shuffle 1 card in Archives into R&D.",Corp Identity,公司特性,Division,部门,Corp,公司,Haas-Bioroid,哈斯生化,,1,,,,30,,,,,,,,,1,0,Timothy Ben Zweifel,,,,,0,,fantasy_flight_games,fantasy_flight_games,2012-09-07
00011,Draft,轮抽系列,0,Draft,轮抽系列,1,Draft,草案,1,11,Synthetic Systems: The World Re-imagined,合成系统：世界重构,Synthetic Systems: The World Re-imagined,"Draft format only.
If you have more [jinteki] cards rezzed than any other faction, when your turn begins, you may swap 2 pieces of installed ice.","轮抽赛制限定。
如果你具有已激活的[jinteki]卡牌多于其它任何派系，则当你的回合开始时，你可以将两层已安装的防火墙互换。","Draft format only. If you have more jinteki cards rezzed than any other faction, when your turn begins, you may swap 2 pieces of installed ice.",Corp Identity,公司特性,Division,部门,Corp,公司,Jinteki,人间会社,,1,,,,30,,,,,,,,,1,0,Emilio Rodríguez,,,,,0,,fantasy_flight_games,fantasy_flight_games,2012-09-07
00012,Draft,轮抽系列,0,Draft,轮抽系列,1,Draft,草案,1,12,Information Dynamics: All You Need To Know,信息动力：你需知的一切,Information Dynamics: All You Need To Know,"Draft format only.
If you have more [nbn] cards rezzed than any other faction, whenever an agenda is scored or stolen, give the runner 1 tag.","轮抽赛制限定。
如果你具有已激活的[nbn]卡牌多于其它任何派系，则每当一个议案被计分或窃取时，给予潜袭者1枚锁定标记。","Draft format only. If you have more nbn cards rezzed than any other faction, whenever an agenda is scored or stolen, give the runner 1 tag.",Corp Identity,公司特性,Division,部门,Corp,公司,NBN,网际传媒,,1,,,,30,,,,,,,,,1,0,Amelie Hutt,,,,,0,,fantasy_flight_games,fantasy_flight_games,2012-09-07
00013,Draft,轮抽系列,0,Draft,轮抽系列,1,Draft,草案,1,13,"Fringe Applications: Tomorrow, Today",边缘应用：明日今天,"Fringe Applications: Tomorrow, Today","Draft format only.
If you have more [weyland-consortium] cards rezzed than any other faction, when the Runner's turn begins, place an advancement token on a piece of ice.","轮抽赛制限定。
如果你具有已激活的[weyland-consortium]卡牌多于其它任何派系，则当潜袭者的回合开始时，放置1枚推进标记到一层防火墙上。","Draft format only. If you have more weyland-consortium cards rezzed than any other faction, when the Runner's turn begins, place an advancement token on a piece of ice.",Corp Identity,公司特性,Division,部门,Corp,公司,Weyland Consortium,威兰财团,,1,,,,30,,,,,,,,,1,0,Emilio Rodríguez,,,,,0,,fantasy_flight_games,fantasy_flight_games,2012-09-07
01001,Core Set,核心系列,1,Core Set,核心系列,1,Core,核心包,113,1,Noise: Hacker Extraordinaire,噪音：超凡黑客,Noise: Hacker Extraordinaire,"Whenever you install a <strong>virus</strong> program, the Corp trashes the top card of R&D.",每当你安装一个<strong>病毒</strong>程序时，公司销毁研发中心顶端的一张卡牌。,"Whenever you install a virus program, the Corp trashes the top card of R&D.",Runner Identity,潜袭者特性,G-mod,转基因人,Runner,潜袭者,Anarch,反叛者,,1,,,0,45,15,,,,,,"""Watch this. It'll be funny.""",“看着，这会很有趣哦。”,1,0,Ralph Beisner,,,,,0,,fantasy_flight_games,fantasy_flight_games,2012-09-06
